application_name,date,time_stamp,server_name,cpu_usage,memory_usage,disk_io,network_in,network_out,response_time_ms,error_rate,requests_per_minute
LoanLogic,2025-06-16,22:21:55,srv-cache01,79.73,5659.11,76.42,7.32,43.65,302.0,2.727,9335
StockTraderPro,2025-06-16,22:31:55,srv-app02,49.97,2483.73,24.33,62.33,83.45,109.71,1.147,1510
CryptoFlow,2025-06-16,22:41:55,srv-db02,65.07,6405.58,42.12,53.97,62.3,65.43,2.979,8351
OptionMaster,2025-06-16,22:51:55,srv-db01,50.47,15970.08,93.44,36.85,83.49,378.29,4.973,7674
MarketAnalyzer,2025-06-16,23:01:55,srv-cache01,46.98,8124.66,96.91,7.07,68.3,40.71,2.178,7496
EquityInsight,2025-06-16,23:11:55,srv-cache01,52.86,3933.07,84.44,42.05,7.77,762.07,1.86,6354
RiskGuardian,2025-06-16,23:21:55,srv-db01,78.06,5010.16,67.75,71.11,31.92,867.02,4.844,9855
StockTraderPro,2025-06-16,23:31:55,srv-cache01,85.01,6232.64,25.2,44.72,10.9,603.73,2.677,4031
FinTransact,2025-06-16,23:41:55,srv-db02,23.26,1377.57,88.65,16.22,49.88,137.12,4.559,5946
ForexPulse,2025-06-16,23:51:55,srv-web01,32.37,10001.23,89.36,82.03,10.36,442.0,2.216,1250
BondWatch,2025-06-17,00:01:55,srv-web01,92.36,938.61,24.45,33.44,66.81,805.11,3.288,20
EquityInsight,2025-06-17,00:11:55,srv-db01,86.06,2334.96,87.2,53.78,94.9,840.95,0.759,6068
TradeStream,2025-06-17,00:21:55,srv-app01,68.38,10171.19,99.95,82.05,74.47,74.76,0.273,9302
MarketAnalyzer,2025-06-17,00:31:55,srv-db01,76.7,7223.61,29.51,81.81,63.62,588.22,4.007,1334
CryptoFlow,2025-06-17,00:41:55,srv-app02,83.98,9752.26,46.14,58.75,1.5,281.58,2.147,9316
RiskGuardian,2025-06-17,00:51:55,srv-app01,88.77,13292.6,38.87,55.81,83.13,619.02,3.341,4189
OptionMaster,2025-06-17,01:01:55,srv-app02,69.98,2409.77,99.56,63.97,1.58,693.77,4.649,8478
RiskGuardian,2025-06-17,01:11:55,srv-db02,39.73,5619.31,27.72,40.05,92.69,486.2,1.05,4831
RiskGuardian,2025-06-17,01:21:55,srv-app01,62.19,2367.97,50.98,8.42,63.17,694.51,1.629,1936
EquityInsight,2025-06-17,01:31:55,srv-cache01,12.8,10127.53,99.31,39.66,99.23,378.76,2.081,5482
LoanLogic,2025-06-17,01:41:55,srv-cache01,16.0,3170.15,88.77,39.79,9.17,487.07,3.015,7667
StockTraderPro,2025-06-17,01:51:55,srv-web01,72.46,6171.82,14.57,57.01,65.95,656.6,1.663,6495
OptionMaster,2025-06-17,02:01:55,srv-app02,79.05,7523.58,31.44,14.15,97.14,755.63,4.91,7423
EquityInsight,2025-06-17,02:11:55,srv-web01,80.01,9963.77,0.15,98.65,0.25,202.53,2.618,5046
TradeStream,2025-06-17,02:21:55,srv-web01,38.58,11502.02,63.61,63.42,34.76,121.29,4.224,7328
BondWatch,2025-06-17,02:31:55,srv-db01,11.58,1404.35,33.71,20.45,28.77,997.3,3.722,5720
ForexPulse,2025-06-17,02:41:55,srv-cache01,37.37,11931.7,64.21,82.09,60.75,565.45,1.349,788
RiskGuardian,2025-06-17,02:51:55,srv-web01,84.05,2523.1,60.87,27.93,68.06,422.32,3.59,8620
MarketAnalyzer,2025-06-17,03:01:55,srv-app02,56.21,16194.0,42.63,69.55,20.48,758.0,3.668,781
OptionMaster,2025-06-17,03:11:55,srv-web01,90.76,958.44,43.96,55.94,32.8,79.09,0.415,8467
EquityInsight,2025-06-17,03:21:55,srv-web01,54.47,7628.74,2.91,33.18,66.86,388.18,3.469,7910
FinTransact,2025-06-17,03:31:55,srv-cache01,30.53,3697.5,65.84,44.89,66.61,311.7,0.006,8718
FinTransact,2025-06-17,03:41:55,srv-app02,93.05,838.43,97.06,14.35,24.34,872.22,0.757,9996
PortfolioPro,2025-06-17,03:51:55,srv-app02,27.35,3408.47,44.51,19.63,25.88,99.31,1.788,6464
MarketAnalyzer,2025-06-17,04:01:55,srv-app01,40.33,3167.64,12.57,98.96,34.44,831.09,2.121,8509
EquityInsight,2025-06-17,04:11:55,srv-app01,54.0,14303.42,82.68,23.03,52.93,950.9,1.359,2307
EquityInsight,2025-06-17,04:21:55,srv-app01,70.04,16081.6,94.16,39.74,66.35,251.39,4.768,2171
OptionMaster,2025-06-17,04:31:55,srv-db02,25.96,5520.01,56.91,36.27,38.85,739.92,4.686,2605
TradeStream,2025-06-17,04:41:55,srv-db01,27.49,13121.06,40.49,59.12,60.4,179.27,3.123,5882
FinTransact,2025-06-17,04:51:55,srv-app02,90.43,7052.2,82.04,21.09,2.61,615.39,1.524,3120
MarketAnalyzer,2025-06-17,05:01:55,srv-db01,92.4,7825.76,64.85,68.14,4.73,631.07,3.304,2340
MarketAnalyzer,2025-06-17,05:11:55,srv-db01,52.26,10501.54,57.98,84.37,19.45,274.78,3.638,4554
FinTransact,2025-06-17,05:21:55,srv-db02,30.06,704.17,74.43,64.22,68.55,879.75,0.406,1019
OptionMaster,2025-06-17,05:31:55,srv-cache01,59.77,5004.56,81.55,33.18,55.81,35.23,0.902,7259
TradeStream,2025-06-17,05:41:55,srv-cache01,87.34,5324.04,41.23,50.02,90.51,952.25,3.607,6768
LoanLogic,2025-06-17,05:51:55,srv-db02,37.93,15192.78,30.52,94.64,32.24,253.76,2.493,8537
EquityInsight,2025-06-17,06:01:55,srv-app01,45.71,3663.33,9.05,75.31,94.32,802.14,1.962,7177
EquityInsight,2025-06-17,06:11:55,srv-web01,16.58,13499.7,47.23,41.46,81.36,89.4,3.72,6148
RiskGuardian,2025-06-17,06:21:55,srv-web01,87.62,13925.41,58.74,24.29,40.55,886.54,2.961,9970
EquityInsight,2025-06-17,06:31:55,srv-web01,91.11,792.99,80.75,31.88,38.07,763.73,0.695,5028
FinTransact,2025-06-17,06:41:55,srv-cache01,24.65,13163.07,12.57,40.78,4.72,669.42,0.078,393
TradeStream,2025-06-17,06:51:55,srv-cache01,56.81,13870.52,84.29,79.42,0.24,262.11,0.303,7114
EquityInsight,2025-06-17,07:01:55,srv-app01,42.93,8959.62,22.92,25.64,10.74,220.27,2.833,2074
ForexPulse,2025-06-17,07:11:55,srv-db02,31.79,2735.6,89.17,43.05,9.41,552.07,2.29,6198
BondWatch,2025-06-17,07:21:55,srv-db02,27.07,3946.42,18.32,54.18,87.38,706.4,4.722,4721
StockTraderPro,2025-06-17,07:31:55,srv-cache01,47.52,7912.46,14.41,4.91,99.74,130.55,4.612,7684
TradeStream,2025-06-17,07:41:55,srv-db02,69.24,13568.54,73.37,55.55,55.44,42.43,1.711,9311
CryptoFlow,2025-06-17,07:51:55,srv-db01,38.75,8424.7,17.4,40.17,44.76,338.55,0.487,9371
LoanLogic,2025-06-17,08:01:55,srv-web01,47.19,8087.77,58.35,77.48,60.72,46.25,0.821,7560
OptionMaster,2025-06-17,08:11:55,srv-db01,91.09,6170.0,59.97,34.05,10.0,685.38,2.541,9788
TradeStream,2025-06-17,08:21:55,srv-app01,77.31,565.7,55.95,45.44,6.39,684.23,1.844,9112
ForexPulse,2025-06-17,08:31:55,srv-db02,71.7,9496.66,45.87,54.44,95.34,433.16,2.294,9278
BondWatch,2025-06-17,08:41:55,srv-db02,55.81,13723.98,95.17,1.22,0.35,592.04,1.184,9758
FinTransact,2025-06-17,08:51:55,srv-db02,86.65,877.27,41.9,56.9,89.97,734.08,0.646,527
TradeStream,2025-06-17,09:01:55,srv-db02,28.19,4231.67,25.55,1.55,64.38,104.74,4.388,4161
RiskGuardian,2025-06-17,09:11:55,srv-db01,60.7,4674.95,94.22,67.21,27.31,542.46,1.542,7297
StockTraderPro,2025-06-17,09:21:55,srv-db01,88.97,4898.72,76.75,60.56,6.71,466.81,0.068,482
StockTraderPro,2025-06-17,09:31:55,srv-db01,20.94,14690.04,55.7,5.4,94.68,677.7,4.605,8530
FinTransact,2025-06-17,09:41:55,srv-db02,83.1,5025.0,73.88,98.07,86.67,943.94,2.201,5602
LoanLogic,2025-06-17,09:51:55,srv-db02,83.81,15653.92,43.85,89.39,31.5,318.94,4.419,4232
ForexPulse,2025-06-17,10:01:55,srv-app02,71.0,8725.18,36.57,26.34,86.85,640.56,0.008,8502
RiskGuardian,2025-06-17,10:11:55,srv-cache01,28.65,12056.42,0.87,3.21,10.32,154.56,3.908,5313
OptionMaster,2025-06-17,10:21:55,srv-db01,12.64,6778.02,65.59,79.87,27.67,742.36,1.547,113
RiskGuardian,2025-06-17,10:31:55,srv-web01,84.18,3540.83,94.08,60.12,8.54,689.15,2.62,4945
TradeStream,2025-06-17,10:41:55,srv-db02,71.99,10692.44,45.02,20.03,0.68,564.94,2.619,6998
BondWatch,2025-06-17,10:51:55,srv-web01,47.83,13163.99,79.73,24.87,30.03,943.74,1.297,3223
TradeStream,2025-06-17,11:01:55,srv-db02,35.0,14181.14,20.73,96.78,65.11,514.29,0.896,2926
CryptoFlow,2025-06-17,11:11:55,srv-web01,94.44,8228.45,51.81,17.15,10.73,806.3,4.974,4720
OptionMaster,2025-06-17,11:21:55,srv-app02,51.52,13212.27,29.08,49.83,15.31,289.35,3.389,4783
FinTransact,2025-06-17,11:31:55,srv-cache01,12.55,13417.36,41.52,52.86,20.54,354.05,2.416,2296
PortfolioPro,2025-06-17,11:41:55,srv-web01,82.87,9476.0,15.49,20.79,45.78,788.1,4.033,2752
OptionMaster,2025-06-17,11:51:55,srv-db02,39.31,14830.33,76.85,92.16,15.65,867.06,1.802,2715
EquityInsight,2025-06-17,12:01:55,srv-cache01,26.52,13654.38,44.7,34.09,70.82,271.71,4.175,3797
CryptoFlow,2025-06-17,12:11:55,srv-cache01,57.07,3798.47,38.08,49.31,28.46,62.0,0.069,8935
StockTraderPro,2025-06-17,12:21:55,srv-db01,30.95,8052.49,75.62,92.77,78.34,849.53,1.002,930
OptionMaster,2025-06-17,12:31:55,srv-cache01,18.49,13380.97,23.51,13.94,93.14,872.74,4.884,5876
MarketAnalyzer,2025-06-17,12:41:55,srv-db02,75.31,4393.02,37.17,38.07,29.43,592.17,4.282,2823
RiskGuardian,2025-06-17,12:51:55,srv-db01,37.59,3888.37,49.68,11.94,18.7,485.34,0.694,4070
StockTraderPro,2025-06-17,13:01:55,srv-app02,31.94,15833.51,23.66,18.66,53.72,343.27,4.471,1538
RiskGuardian,2025-06-17,13:11:55,srv-db01,36.04,10863.15,76.35,22.62,77.18,457.17,0.879,6939
OptionMaster,2025-06-17,13:21:55,srv-db02,51.0,13238.53,71.06,59.66,55.69,385.61,3.918,9899
CryptoFlow,2025-06-17,13:31:55,srv-app02,29.63,9215.31,80.28,54.69,66.95,353.74,3.438,8179
StockTraderPro,2025-06-17,13:41:55,srv-app02,55.41,10131.7,19.56,35.5,18.81,660.31,3.968,2126
StockTraderPro,2025-06-17,13:51:55,srv-db02,74.94,12400.52,28.36,25.41,11.25,397.52,2.896,2614
PortfolioPro,2025-06-17,14:01:55,srv-app01,75.23,3545.54,16.58,44.25,25.11,773.56,0.746,982
MarketAnalyzer,2025-06-17,14:11:55,srv-cache01,62.16,799.28,95.8,53.75,89.8,623.26,3.036,3778
RiskGuardian,2025-06-17,14:21:55,srv-db02,87.24,14705.62,19.41,52.2,74.93,70.02,1.718,9703
MarketAnalyzer,2025-06-17,14:31:55,srv-app01,30.66,1303.26,22.57,75.65,5.57,555.65,2.389,8482
RiskGuardian,2025-06-17,14:41:55,srv-web01,14.79,8613.58,46.86,78.62,21.69,368.17,1.875,6081
TradeStream,2025-06-17,14:51:55,srv-db02,68.64,15213.72,47.46,61.33,81.26,660.68,1.22,2795
RiskGuardian,2025-06-17,15:01:55,srv-db01,59.02,13593.84,40.97,12.63,21.31,141.59,2.351,2370
OptionMaster,2025-06-17,15:11:55,srv-app01,20.23,4514.15,79.1,52.89,61.85,921.05,4.193,5255
StockTraderPro,2025-06-17,15:21:55,srv-app01,76.71,15700.75,30.13,54.02,18.35,917.48,3.399,8420
MarketAnalyzer,2025-06-17,15:31:55,srv-web01,11.2,16000.14,22.88,87.94,48.78,548.4,3.099,1605
CryptoFlow,2025-06-17,15:41:55,srv-app01,54.84,12941.33,73.7,21.03,42.57,354.31,3.272,3935
BondWatch,2025-06-17,15:51:55,srv-web01,77.35,9677.12,75.47,80.12,8.33,73.09,4.204,5655
ForexPulse,2025-06-17,16:01:55,srv-app01,24.46,2612.11,37.9,7.69,54.68,283.62,4.669,1751
LoanLogic,2025-06-17,16:11:55,srv-db01,11.57,8254.66,87.64,33.33,25.56,458.01,3.845,6628
StockTraderPro,2025-06-17,16:21:55,srv-cache01,19.33,12332.81,27.62,79.66,62.73,774.86,0.829,3886
FinTransact,2025-06-17,16:31:55,srv-app02,26.43,13240.82,26.34,78.64,10.37,102.49,2.816,914
FinTransact,2025-06-17,16:41:55,srv-web01,88.14,10182.71,21.77,62.99,67.18,616.43,4.257,1618
LoanLogic,2025-06-17,16:51:55,srv-db02,89.27,6045.25,54.65,89.72,72.82,764.06,4.755,8509
OptionMaster,2025-06-17,17:01:55,srv-db01,50.23,9386.35,33.85,65.42,71.34,140.24,1.138,5060
MarketAnalyzer,2025-06-17,17:11:55,srv-web01,65.33,12536.8,30.9,48.24,89.18,522.91,1.123,2306
CryptoFlow,2025-06-17,17:21:55,srv-cache01,78.88,15728.38,86.13,12.34,54.19,650.45,3.722,5091
ForexPulse,2025-06-17,17:31:55,srv-cache01,80.11,7687.26,14.67,33.02,31.15,520.19,3.92,7934
CryptoFlow,2025-06-17,17:41:55,srv-cache01,26.49,8890.8,62.94,27.16,64.72,357.45,2.846,8804
LoanLogic,2025-06-17,17:51:55,srv-db01,19.35,11253.11,44.78,2.59,31.5,158.86,2.755,9498
BondWatch,2025-06-17,18:01:55,srv-web01,78.51,12111.16,12.54,35.8,31.49,48.32,1.366,1214
EquityInsight,2025-06-17,18:11:55,srv-web01,32.46,14727.48,25.44,68.33,10.57,35.34,2.382,4767
EquityInsight,2025-06-17,18:21:55,srv-app02,68.36,7300.24,12.3,74.37,95.61,589.71,1.37,4551
PortfolioPro,2025-06-17,18:31:55,srv-db02,26.18,3983.06,7.14,29.75,78.0,470.84,1.712,179
EquityInsight,2025-06-17,18:41:55,srv-app02,14.67,12120.49,59.78,5.04,77.85,346.26,3.468,3614
TradeStream,2025-06-17,18:51:55,srv-app02,88.47,1679.98,60.13,91.91,87.95,382.28,3.1,3647
TradeStream,2025-06-17,19:01:55,srv-app01,76.24,9204.51,86.36,91.08,17.11,487.33,2.944,4972
EquityInsight,2025-06-17,19:11:55,srv-app02,13.9,12469.73,70.66,8.74,54.72,940.76,4.799,2669
ForexPulse,2025-06-17,19:21:55,srv-app02,44.44,3056.9,28.8,79.45,76.07,853.02,3.844,6136
BondWatch,2025-06-17,19:31:55,srv-db01,44.0,9556.17,37.69,0.12,48.53,488.16,0.818,6022
PortfolioPro,2025-06-17,19:41:55,srv-app02,45.54,3177.56,64.11,23.96,16.0,428.63,1.64,1031
MarketAnalyzer,2025-06-17,19:51:55,srv-web01,76.41,600.71,37.63,80.04,77.91,99.09,2.11,9719
OptionMaster,2025-06-17,20:01:55,srv-app01,85.16,9393.37,68.15,17.7,17.54,714.64,0.752,8343
PortfolioPro,2025-06-17,20:11:55,srv-db02,90.34,3809.3,51.93,10.67,86.3,249.31,0.612,1627
ForexPulse,2025-06-17,20:21:55,srv-app02,81.2,5025.85,8.24,34.7,35.85,257.24,1.92,8428
FinTransact,2025-06-17,20:31:55,srv-cache01,56.61,12083.62,3.29,72.76,51.65,717.91,3.181,8536
EquityInsight,2025-06-17,20:41:55,srv-cache01,20.63,5903.69,53.3,43.47,39.9,317.25,1.093,6489
FinTransact,2025-06-17,20:51:55,srv-db02,20.4,6064.06,95.82,82.48,3.06,852.07,2.882,3979
LoanLogic,2025-06-17,21:01:55,srv-db01,27.01,15169.04,9.2,37.89,43.5,93.82,2.424,8509
BondWatch,2025-06-17,21:11:55,srv-db02,33.0,2835.61,97.16,30.19,29.88,606.58,3.564,9432
CryptoFlow,2025-06-17,21:21:55,srv-cache01,26.72,5840.46,69.28,59.52,30.43,386.11,3.162,751
OptionMaster,2025-06-17,21:31:55,srv-db01,23.82,11043.44,64.71,98.86,82.1,777.1,2.352,727
TradeStream,2025-06-17,21:41:55,srv-app01,79.23,3357.06,85.82,11.21,22.5,718.61,2.511,1372
BondWatch,2025-06-17,21:51:55,srv-web01,52.57,3892.02,94.96,7.75,7.54,951.33,1.517,5655
CryptoFlow,2025-06-17,22:01:55,srv-app02,52.76,3123.23,8.9,81.09,88.86,975.93,1.937,817
StockTraderPro,2025-06-17,22:11:55,srv-app02,58.83,14596.71,16.52,70.01,91.69,590.7,4.672,1693
RiskGuardian,2025-06-17,22:21:55,srv-cache01,63.58,2356.13,4.62,75.16,0.33,440.45,0.764,2449
FinTransact,2025-06-17,22:31:55,srv-cache01,62.0,9893.02,31.31,48.36,90.97,575.65,3.93,2800
PortfolioPro,2025-06-17,22:41:55,srv-cache01,59.52,9534.06,60.48,71.08,76.56,667.29,3.583,8666
StockTraderPro,2025-06-17,22:51:55,srv-app01,67.05,12213.53,0.52,17.12,56.6,225.95,0.589,6706
CryptoFlow,2025-06-17,23:01:55,srv-web01,50.71,4609.23,15.32,76.07,58.9,610.56,1.152,5164
TradeStream,2025-06-17,23:11:55,srv-web01,81.05,10492.23,44.56,74.74,5.14,210.8,1.065,4330
OptionMaster,2025-06-17,23:21:55,srv-db02,11.55,5130.16,28.44,98.25,73.15,969.96,3.247,9137
OptionMaster,2025-06-17,23:31:55,srv-app01,25.97,1862.81,49.95,22.19,99.56,616.05,3.001,6275
TradeStream,2025-06-17,23:41:55,srv-db02,48.92,12175.85,79.86,93.23,64.37,156.38,2.997,1398
BondWatch,2025-06-17,23:51:55,srv-app01,90.81,9099.88,40.78,66.1,39.68,770.5,3.246,2591
PortfolioPro,2025-06-18,00:01:55,srv-app02,42.13,3370.39,32.97,98.52,83.07,866.55,2.604,6536
MarketAnalyzer,2025-06-18,00:11:55,srv-db02,62.97,16035.12,26.05,36.46,86.81,285.28,3.853,833
EquityInsight,2025-06-18,00:21:55,srv-db01,42.42,1112.06,53.28,9.4,83.4,784.34,1.803,4218
BondWatch,2025-06-18,00:31:55,srv-app02,26.11,8238.45,23.45,40.51,79.22,587.03,4.378,3864
FinTransact,2025-06-18,00:41:55,srv-db01,57.63,12065.4,77.95,64.98,66.61,674.53,1.872,9813
PortfolioPro,2025-06-18,00:51:55,srv-web01,92.68,12136.28,66.7,32.54,55.73,878.35,2.388,1970
StockTraderPro,2025-06-18,01:01:55,srv-cache01,22.57,14562.19,56.66,97.37,28.78,433.34,2.729,6466
StockTraderPro,2025-06-18,01:11:55,srv-db01,54.65,3508.96,77.49,64.86,57.59,231.38,1.192,6103
MarketAnalyzer,2025-06-18,01:21:55,srv-db02,60.4,7081.94,68.68,43.46,66.59,157.68,2.282,7658
CryptoFlow,2025-06-18,01:31:55,srv-app02,40.41,11793.86,21.19,10.58,39.55,186.38,4.071,7665
StockTraderPro,2025-06-18,01:41:55,srv-db02,43.89,14475.93,29.51,78.16,22.63,91.4,4.988,9427
RiskGuardian,2025-06-18,01:51:55,srv-web01,52.23,3133.3,66.6,5.18,62.19,897.84,2.636,3422
PortfolioPro,2025-06-18,02:01:55,srv-app01,56.58,9253.93,84.15,67.25,44.5,341.83,0.897,285
StockTraderPro,2025-06-18,02:11:55,srv-app01,66.43,13416.93,51.54,83.94,81.24,706.92,0.69,4709
RiskGuardian,2025-06-18,02:21:55,srv-app01,41.76,10188.31,5.61,62.7,1.44,268.6,0.028,4532
LoanLogic,2025-06-18,02:31:55,srv-web01,31.52,550.65,44.77,8.65,5.22,397.11,4.319,6673
LoanLogic,2025-06-18,02:41:55,srv-cache01,75.23,12019.74,46.08,50.93,20.5,210.91,4.625,1188
OptionMaster,2025-06-18,02:51:55,srv-cache01,91.6,8800.84,87.04,84.84,61.39,716.08,0.311,1752
LoanLogic,2025-06-18,03:01:55,srv-app01,12.99,9646.23,5.33,25.63,50.21,676.68,3.855,5437
TradeStream,2025-06-18,03:11:55,srv-web01,71.15,8797.53,83.56,16.03,15.08,802.98,3.372,1002
StockTraderPro,2025-06-18,03:21:55,srv-app02,92.25,11132.97,35.55,47.7,74.94,838.88,0.209,5743
PortfolioPro,2025-06-18,03:31:55,srv-app01,41.81,11817.27,9.95,24.24,21.56,843.3,0.293,5705
EquityInsight,2025-06-18,03:41:55,srv-cache01,77.39,6609.31,90.58,53.49,63.34,790.74,2.918,6780
ForexPulse,2025-06-18,03:51:55,srv-db01,21.56,3962.35,71.49,64.71,37.04,835.88,1.828,8156
EquityInsight,2025-06-18,04:01:55,srv-db01,25.77,4128.31,30.34,26.22,18.3,898.92,1.958,6274
CryptoFlow,2025-06-18,04:11:55,srv-web01,74.1,9213.73,83.49,76.3,94.84,958.3,3.273,8000
StockTraderPro,2025-06-18,04:21:55,srv-app02,65.32,2862.76,29.52,58.53,3.8,912.0,0.297,2232
EquityInsight,2025-06-18,04:31:55,srv-app02,20.43,1595.89,37.75,53.98,35.67,997.52,2.66,2432
MarketAnalyzer,2025-06-18,04:41:55,srv-db02,13.91,11600.19,86.61,46.24,15.19,721.41,4.546,6767
CryptoFlow,2025-06-18,04:51:55,srv-web01,38.4,11499.11,17.09,54.7,88.66,693.77,1.985,4783
RiskGuardian,2025-06-18,05:01:55,srv-db02,53.32,5901.66,4.24,32.53,19.08,853.6,4.071,9524
BondWatch,2025-06-18,05:11:55,srv-app01,33.22,1420.61,11.92,46.07,67.37,934.95,1.276,8195
OptionMaster,2025-06-18,05:21:55,srv-app01,49.05,11009.1,0.77,49.01,14.71,451.07,4.937,3996
TradeStream,2025-06-18,05:31:55,srv-app02,37.83,6291.36,33.96,82.59,30.98,469.81,1.464,2314
PortfolioPro,2025-06-18,05:41:55,srv-db02,31.86,6774.3,3.94,6.42,82.58,248.69,1.03,4216
FinTransact,2025-06-18,05:51:55,srv-app02,60.06,8152.94,28.7,81.21,19.91,371.91,2.015,7676
BondWatch,2025-06-18,06:01:55,srv-cache01,76.55,2149.73,75.35,30.98,40.09,635.22,1.331,4772
CryptoFlow,2025-06-18,06:11:55,srv-app02,25.36,11970.58,2.08,25.98,65.67,339.1,4.286,8696
ForexPulse,2025-06-18,06:21:55,srv-db02,80.53,6761.31,25.11,27.87,94.31,328.16,4.369,3488
RiskGuardian,2025-06-18,06:31:55,srv-cache01,91.37,8828.46,24.85,95.25,83.77,933.09,4.802,8840
OptionMaster,2025-06-18,06:41:55,srv-app01,35.49,10752.2,66.52,61.55,51.17,898.27,2.559,5223
PortfolioPro,2025-06-18,06:51:55,srv-cache01,62.48,1614.3,3.7,90.52,58.09,440.47,3.603,7688
ForexPulse,2025-06-18,07:01:55,srv-db01,72.08,3010.76,49.06,19.94,15.32,940.48,2.322,4485
RiskGuardian,2025-06-18,07:11:55,srv-cache01,92.53,11728.42,24.37,28.27,41.26,83.81,2.793,8309
EquityInsight,2025-06-18,07:21:55,srv-db02,93.09,7798.99,39.61,76.63,46.72,557.84,2.69,9062
EquityInsight,2025-06-18,07:31:55,srv-web01,44.65,4959.4,10.12,48.92,69.85,383.03,2.551,5894
BondWatch,2025-06-18,07:41:55,srv-db02,86.71,10576.52,31.99,62.89,54.01,63.01,1.5,1739
OptionMaster,2025-06-18,07:51:55,srv-db02,19.36,3895.76,79.02,49.3,46.74,836.15,0.124,9786
RiskGuardian,2025-06-18,08:01:55,srv-app01,24.48,14037.45,27.01,12.06,61.89,715.03,4.405,7029
RiskGuardian,2025-06-18,08:11:55,srv-app02,74.57,834.31,82.76,85.58,55.41,726.66,1.176,6963
LoanLogic,2025-06-18,08:21:55,srv-db01,87.13,4051.3,23.65,0.32,7.84,898.85,1.389,9233
CryptoFlow,2025-06-18,08:31:55,srv-db01,29.11,10166.68,7.16,27.18,20.97,224.53,2.523,2286
CryptoFlow,2025-06-18,08:41:55,srv-db02,29.89,15789.13,26.33,10.86,24.16,626.39,1.36,197
TradeStream,2025-06-18,08:51:55,srv-db01,83.29,10645.37,6.59,93.35,57.07,854.23,0.099,8583
EquityInsight,2025-06-18,09:01:55,srv-db01,86.36,2904.64,89.02,24.23,86.42,192.26,4.913,8822
FinTransact,2025-06-18,09:11:55,srv-app01,42.74,1199.17,64.16,64.75,63.67,622.07,0.607,8687
ForexPulse,2025-06-18,09:21:55,srv-app01,48.53,6964.52,69.24,76.65,50.53,286.08,2.937,7000
LoanLogic,2025-06-18,09:31:55,srv-db01,92.33,15408.7,20.6,73.95,17.25,95.01,1.841,4637
FinTransact,2025-06-18,09:41:55,srv-db01,42.02,11903.97,57.35,7.01,50.18,288.69,3.092,4022
TradeStream,2025-06-18,09:51:55,srv-db01,14.0,11932.93,98.0,75.61,58.85,698.31,3.325,4738
ForexPulse,2025-06-18,10:01:55,srv-web01,16.69,9200.56,85.04,83.53,79.13,986.33,3.025,9449
EquityInsight,2025-06-18,10:11:55,srv-app02,29.28,16190.14,94.37,85.78,69.85,825.04,1.961,1442
BondWatch,2025-06-18,10:21:55,srv-app01,55.34,13807.15,78.81,51.28,7.84,459.0,3.668,712
MarketAnalyzer,2025-06-18,10:31:55,srv-web01,39.24,3114.99,87.67,1.31,43.81,284.89,1.382,8343
LoanLogic,2025-06-18,10:41:55,srv-app02,27.24,14090.91,55.02,47.47,44.12,487.42,3.984,8301
LoanLogic,2025-06-18,10:51:55,srv-cache01,43.94,8470.43,34.67,41.61,63.59,212.3,1.618,3512
CryptoFlow,2025-06-18,11:01:55,srv-cache01,52.65,14375.78,8.48,29.43,95.0,358.36,4.977,5090
PortfolioPro,2025-06-18,11:11:55,srv-web01,77.52,6906.04,52.6,0.53,82.42,986.81,3.739,1035
MarketAnalyzer,2025-06-18,11:21:55,srv-app02,36.47,12532.63,18.7,60.82,60.52,283.72,0.475,300
EquityInsight,2025-06-18,11:31:55,srv-app01,79.71,3471.56,32.79,33.97,29.6,331.38,2.458,1706
PortfolioPro,2025-06-18,11:41:55,srv-app01,75.59,11958.26,16.37,91.34,46.9,616.78,0.955,2512
CryptoFlow,2025-06-18,11:51:55,srv-db02,74.57,4585.44,94.51,40.44,51.19,512.21,4.674,5974
OptionMaster,2025-06-18,12:01:55,srv-app01,67.91,4554.37,34.35,98.98,27.93,611.47,3.909,7008
TradeStream,2025-06-18,12:11:55,srv-cache01,23.37,15296.31,40.85,73.52,1.35,979.43,3.998,4372
TradeStream,2025-06-18,12:21:55,srv-web01,34.82,6702.05,51.84,4.85,47.02,500.98,4.427,3720
FinTransact,2025-06-18,12:31:55,srv-db01,31.65,11382.0,55.47,46.06,47.18,520.84,1.074,2912
OptionMaster,2025-06-18,12:41:55,srv-web01,43.24,3982.67,77.49,35.39,81.74,563.87,2.674,348
StockTraderPro,2025-06-18,12:51:55,srv-app01,82.69,3220.17,77.14,53.17,71.4,294.41,1.385,3285
MarketAnalyzer,2025-06-18,13:01:55,srv-app01,38.02,2592.42,44.66,53.42,54.46,545.72,4.869,9052
ForexPulse,2025-06-18,13:11:55,srv-db02,18.7,3877.44,64.81,78.99,42.9,786.58,4.085,6804
LoanLogic,2025-06-18,13:21:55,srv-web01,33.81,5354.67,75.78,50.73,2.22,910.45,0.408,2373
ForexPulse,2025-06-18,13:31:55,srv-cache01,64.09,16347.23,48.89,91.49,22.71,474.62,3.383,7522
RiskGuardian,2025-06-18,13:41:55,srv-db01,37.65,15969.07,42.68,26.42,44.05,191.1,0.52,1955
FinTransact,2025-06-18,13:51:55,srv-db01,73.08,15015.23,53.72,42.19,64.69,834.2,3.494,5266
